Time,Open,High,Low,Latest,Volume
12/3/01,113.65,114.08,113.01,113.37,15400300
12/4/01,113.92,115.3,113.35,115.29,17245800
12/5/01,115.61,118,115.56,117.4,25203900
12/6/01,117.35,117.94,116.93,117.34,17972900
12/7/01,116.9,117.09,115.7,116.56,18908000
12/10/01,115.65,116.39,114.35,114.38,13862800
12/11/01,114.9,115.72,113.9,114.15,20833500
12/12/01,114.55,114.78,113.11,114.28,16172400
12/13/01,113.45,113.7,112.04,112.06,19037900
12/14/01,112.33,113.49,112,113.13,16723100
12/17/01,112.99,114.36,112.9,114.3,13947300
12/18/01,114.63,115.15,114.34,114.98,13664000
12/19/01,114.09,115.92,114,115.79,20147400
12/20/01,115.5,115.8,114.55,114.65,14867900
12/21/01,115.03,115.07,114.2,114.95,14042700
12/24/01,114.83,115.04,114.61,114.73,5728800
12/26/01,114.65,116.21,114.65,115.36,10307900
12/27/01,115.3,116.08,115.26,116.06,9407300
12/28/01,116.29,116.75,115.92,116,10593800
12/31/01,116.15,116.39,114.23,114.3,14620200
1/2/02,115.11,115.75,113.81,115.53,18652200
1/3/02,115.65,116.95,115.54,116.84,15743100
1/4/02,117.17,117.98,116.55,117.62,20140700
1/7/02,117.7,117.99,116.56,116.79,13190200
1/8/02,116.8,117.06,115.97,116.52,12687200
1/9/02,116.68,117.78,115.34,115.57,16616900
1/10/02,115.7,116.35,115.3,116.08,12823400
1/11/02,116.21,116.28,114.7,114.94,13708500
1/14/02,114.65,114.84,113.96,114.22,12304300
1/15/02,114.55,115.39,113.9,115.15,20221400
1/16/02,114.3,114.4,112.69,112.82,17077200
1/17/02,113.76,114.24,113.4,113.67,17707900
1/18/02,113,113.85,112.67,113.15,17028200
1/22/02,113.75,113.93,112.02,112.37,11691000
1/23/02,112.63,113.55,112.02,113.23,12439100
1/24/02,113.64,114.25,113.32,113.58,12163100
1/25/02,113.12,114.18,113.04,113.55,12810600
1/28/02,113.9,114.19,112.92,113.86,10589400
1/29/02,113.85,114.13,110.05,110.28,27736100
1/30/02,110.39,113.39,108.4,111.87,34712000
1/31/02,112.15,113.3,111.62,113.18,19910100
2/1/02,113.09,113.3,112.17,112.65,15838500
2/4/02,112.23,112.23,109.45,109.85,24247500
2/5/02,109.4,110.5,108.53,109.17,33614000
2/6/02,109.65,109.74,108.06,108.7,29670400
2/7/02,108.72,109.86,108,108.02,23450200
2/8/02,108.63,110.75,108.3,110.09,19278100
2/11/02,110.05,111.64,109.82,111.44,18792400
2/12/02,110.96,111.71,110.03,111.09,13942500
2/13/02,111.48,112.54,111.35,112.27,16791900
2/14/02,112.51,112.97,111.59,112.06,20458200
2/15/02,112.15,112.24,110.71,110.89,18394600
2/19/02,110.15,110.29,108.61,108.76,15988100
2/20/02,109.05,110.59,107.82,110.59,29247100
2/21/02,109.93,110.63,108.26,108.3,26292800
2/22/02,108.35,109.94,107.87,109.64,26572900
2/25/02,109.75,111.81,109.7,111.45,17459600
2/26/02,111.6,112.04,110.57,111.22,22362900
2/27/02,111.96,112.86,110.65,111.65,28619300
2/28/02,111.83,112.75,111.03,111.15,23755500
3/1/02,111.72,113.85,111.51,113.74,26186500
3/4/02,114.14,115.99,113.65,115.75,27134000
3/5/02,115.33,116.4,114.97,115.27,20767500
3/6/02,115.1,117.15,115.08,116.75,20169700
3/7/02,117.36,117.5,115.57,116.5,19538000
3/8/02,117.38,117.91,116.48,116.99,19933600
3/11/02,116.89,117.9,116.43,117.24,15626800
3/12/02,116.1,117.25,115.94,117.17,17343700
3/13/02,116.63,116.75,115.64,116.04,17176600
3/14/02,116.04,116.43,115.63,115.88,11169600
3/15/02,115.97,116.95,115.9,116.65,21222100
3/18/02,117.1,117.57,116.1,116.67,17575000
3/19/02,117.3,117.74,116.82,117.45,17913600
3/20/02,116.53,116.58,115.19,115.24,17128200
3/21/02,115.3,115.83,114.12,115.29,26888800
3/22/02,115.5,115.94,114.7,115.04,15235400
3/25/02,115.15,115.36,113.3,113.61,17623400
3/26/02,113.52,115.02,113.47,114.27,19990600
3/27/02,114.03,115.01,113.76,114.57,19088700
3/28/02,114.97,115.77,114.5,114.52,17535900
4/1/02,114.23,115.1,113.5,114.57,17714000
4/2/02,113.98,114.95,113.77,113.94,15596700
4/3/02,114.01,114.22,112.16,113.19,26697600
4/4/02,112.86,113.4,112.23,112.67,23592000
4/5/02,113.19,113.63,112.18,112.69,19452500
4/8/02,111.32,113.03,111.23,112.93,15670900
4/9/02,113.19,113.19,111.93,112.16,16849300
4/10/02,112.1,113.54,112.09,113.41,17214700
4/11/02,112.89,113.05,110.5,110.59,25460200
4/12/02,111.03,111.65,110.04,111.42,14950600
4/15/02,111.62,111.86,110.2,110.57,17597900
4/16/02,112.58,113.32,111.67,113.2,14844200
4/17/02,113.39,113.67,112.6,112.96,12928600
4/18/02,112.9,113.46,111.15,112.47,25219800
4/19/02,113.2,113.24,112.56,112.88,10602500
4/22/02,112.38,112.43,110.84,111,13924500
4/23/02,111.09,111.48,110.17,110.52,16973800
4/24/02,110.56,111.81,109.4,109.41,19082200
4/25/02,109.21,109.74,108.72,109.47,25456900
4/26/02,109.79,110.01,107.29,107.39,19770000
4/29/02,107.93,108.26,106.63,106.86,17725600
4/30/02,107.02,108.64,106.64,107.86,19475300
5/1/02,107.97,109.25,106.8,109.18,24581100
5/2/02,109.1,109.91,107.78,108.76,16411600
5/3/02,108.6,108.76,107.2,107.58,18185500
5/6/02,107.65,108,105.31,105.47,24189200
5/7/02,106.11,106.32,104.9,105.1,22252600
5/8/02,107.05,109.36,106.79,109.01,27568000
5/9/02,108.65,109.1,107.58,107.75,25952000
5/10/02,107.68,107.95,105.6,105.75,19555700
5/13/02,107.06,107.95,106.87,107.87,10227500
5/14/02,109.62,110.37,109.1,110.22,34292900
5/15/02,109.55,110.91,109.36,109.79,20001100
5/16/02,109.7,110.48,109.33,110.34,21415200
5/17/02,110.66,111.25,110.1,110.9,33451200
5/20/02,110.52,110.55,109.49,109.69,13597000
5/21/02,110.11,110.49,108.32,108.7,18665400
5/22/02,108.29,109.12,108,108.94,15845100
5/23/02,109.26,110.36,108.48,110.1,13883800
5/24/02,109.85,110.2,108.61,108.69,11949600
5/28/02,109.05,109.13,107.45,108.1,24237200
5/29/02,107.63,108.02,107.13,107.3,14789000
5/30/02,106.55,107.51,105.9,107,18217400
5/31/02,107.4,108.56,106.85,107.22,19843100
6/3/02,107.09,107.6,104.13,104.37,26074700
6/4/02,104.15,105.2,103.55,104.63,25871100
6/5/02,104.95,105.67,104.35,105.61,20101600
6/6/02,105.54,105.6,103.15,103.47,23168200
6/7/02,101.79,103.92,101.72,103.34,24011300
6/10/02,103.24,104.46,103.02,103.74,19338100
6/11/02,104.13,104.54,101.73,101.96,20355100
6/12/02,101.71,102.81,100.78,102.58,31305500
6/13/02,102.13,103,101.34,101.55,21078200
6/14/02,100.31,101.56,98.5,101.4,39258800
6/17/02,101.92,104.34,101.85,104.21,18070700
6/18/02,103.74,105.03,103.63,104.97,21860800
6/19/02,103.5,104.43,102.24,102.52,21550900
6/20/02,102.27,103.05,100.96,101.21,25762400
6/21/02,100.47,100.93,98.69,99.28,31191400
6/24/02,99.89,100.69,97.25,99.8,37173800
6/25/02,100.3,100.89,97.54,97.56,33419000
6/26/02,96.2,97.57,95.2,96.48,22176600
6/27/02,98.37,99.49,96.57,99.43,31631600
6/28/02,99.3,100.5,98.88,98.96,27514500
7/1/02,99.22,99.8,96.9,97.03,20265500
7/2/02,96.87,97.2,94.77,94.97,34118800
7/3/02,94.64,95.84,93.73,95.51,30557800
7/5/02,96.75,99.55,96.67,98.3,20363500
7/8/02,98.95,99.7,97.56,98.07,19099100
7/9/02,97.73,98.34,95.01,95.6,28105900
7/10/02,96,96.07,92.04,92.12,50533700
7/11/02,91.76,93.35,90.32,92.87,57671700
7/12/02,93.33,93.89,91.52,91.85,39026100
7/15/02,91.64,92.4,87.89,92.34,76070496
7/16/02,91.2,92.29,89.93,90.56,5347600
7/17/02,92.5,93.3,89.75,90.85,22674900
7/18/02,90.7,91.05,87.75,87.9,4162000
7/19/02,86.9,87.55,84.37,84.71,49893000
7/22/02,84.11,85.79,81.53,82.2,6048800
7/23/02,82.7,83.18,79.82,80.02,6308000
7/24/02,78.17,85.12,77.68,84.72,99462096
7/25/02,84.27,85.85,81.6,84.05,87291600
7/26/02,84.66,85.93,83.8,85.7,40015900
7/29/02,88.85,90.34,87.3,89.77,53498500
7/30/02,89.32,91.4,88.72,90.94,47570000
7/31/02,90.5,91.55,89.25,91.2,44719500
8/1/02,90.88,91.35,88.33,88.78,66576300
8/2/02,88.5,88.92,85.62,86.79,51832000
8/5/02,86.5,86.93,83.55,83.77,47312800
8/6/02,85.23,87.9,85.05,86.59,65257800
8/7/02,87.88,88.5,85.77,88.1,43720300
